text	sentiment_category
airfryeri aktif olarak kullanıyorsunuz düşünmeden sipariş etmenizi tavsiye ederim	1
güzel	1
fiyatı kalitesi güzel	1
alta sızdırmıyor boyutu çok iyi	1
xiaomi airfry tam uyuyor temiz tertipli iş çıkarıyor	1
kullanışlı	1
3-4 -5 litrelerle uyumlu	1
kullandığım ürün	1
açıkçası uzun zamandır ürün almak istiyordum airfryer'in altını temizlemekle uğraşmak istemiyordum araştırırken ürüne denk geldim yorumlarda kanıp sipariş verdim ürünle birlikte ilk pişirmem üstüne köfteleri koyup oldu pişirme sırasında gördüm kenarları airfryer'ın yukardan sıcak hava vurması birlikte köftelerin üstüne katlanmış köfteler pişmiyordu birde 5 tane köfte koymuştum sadece üründen mi memnun kalmadım 2 paket aldım birde sürekli kullanırım ürün belirttiği görevi getiremiyor buraya yorum yazanlar neye göre yorum yazdı açıkçası anlayabilmiş değilim samimiyetimle söylüyorum ürünü kesinlikle tavsiye etmiyorum	1
urun inanılmaz hayal kirikliği köfte patates herşey mi yapisir sahici urunu için kolay kolay olumsuz yazmam urun için özellikle yazmak istedim çok satana aldanmayın	1
bugüne dek amazondan alıp kalitesiz çıkan ürün yoktu herşeyin ilki varmış ürün berbat üzerinde pişirirseniz yapışıyor etiniz tavusunuz çöp oluyor	0
kullanışlı değil eğilip bükülüp yemek üstünü kapatıyor kullanışsız	0
ürün birbirine yapışmış halde geldi kenarında kesik kağıt kalitesi çok kötü tavsiye etmiyorum	0
bugün teslim aldım denedim 195 santigrat ısıda kullandım kağıt küçüldü yemde bagetler kağıda yapıştı yapışıklığı ayırmak uğraşınca yırtıldı	1
pişirseniz pişirin yapışıyor kesinlikle tavsiye etmem silikon pişirme aparatı aldım işimi gördü zincir marketlerde yağlı kağıtlar iyi boş yere para vermeyin	0
ürün açımdan hayal kırıklığı oldu et marine ederek koyduğum besinler kağıda yapıştı	1
xx ürün küçük	0
airfry üzerinden yaptığım yiyeceklerin kağıda yapışması problemi hiçbir çözüm bulamadık	0
