text,sentiment
güzel,2.0
yıldızlara aldanmayın görünmesi içindi özellikle sipariş ederken kontrol ettim kahverengi yazıyor beyaz olarak geldi kağıdı çok ince pakette düzleşerek geldi kullan at olduğundan iadeyle,0.622
ürün güzel paketlenmiş geldi ankara radon sati'cisinden satın aldım tek iyi paketleyen sarı olan satıcıdan de sert plastik kutusu geliyor xiaomi uyumlu beğendim,4.695
üstte olan yıldız veriyorum kare istedim yuvarlak gelmiş ufacık şaka gibisiniz,0.507
kahverengi kare gelmedi beyaz kare yuvarlak kahverengi geldi xiaomi airfrey kullanacağım,0.056
xiaomi alt airfryer aldım çok güzel oldu kullanışlı ürün çok hızlı kargolandı,3.824
güzel paketleme hızlı teslimat teşekkürler,3.008
kare sipariş ettim yuvarlak göndermişsiniz,0.032
beyaz kağıt göndermişler malzeme kalitesi çok kötü kalın ayrıca yerlerden düzgün kesilmediği birbirine yapışık para vermeye değmez,-1.708
gerkcekteb kare sekilde geldi çok ince komple yazlamama rağmen yapisiyor ayıklayana hiç kullanmamsa donuyor pek faydalı bur urun değil,1.6179999999999999
kare olanından sipariş verdim yuvarlak geldi yuvarlak istesem sipariş veririm satıcı çok dikkatsiz,-1.274
ürün fotoğrafıyla alakasız yuvarlak ürün geldi paketleme özensiz i̇adeyle uğraşmak istemedim muhtemelen satıcı kimsenin iadeyle uğraşmayacağını düşündüğü ürün gönderiyor,0.5770000000000002
ürün köşeli yuvarlak geldi Hepsiburada taahhüt ettiği ürünü yollamayan firmalara kesinlikle yaptırımda bulunmalı,0.8600000000000001
beyaz geldi ürün zaman oraya beyaz fotoğraf koyunki göre alalım yanıltmaca,0.7460000000000001
ürün kalite olarak çok düşük tavsiye etmiyorum ürün et ve ürünlerde yapışma yapmakta önceki farklı markadan aldııgm airfryer altlını hız yapılma yapmamaktaydı,0.9960000000000002
6 litrelik airfry anca zemini kapattı beyaz kağıt geldi patates denedim güzelce yağlamış olmama yapıştı,-0.020000000000000004
urun elime ulaşmadı şikayet talebi oluşturmama ulaştı gözüküyor,-2.876
berbat bi̇r ürün i̇landa gözüktüğü gi̇bi̇ kare deği̇l yuvarlak olanlardan geldi̇ pi̇şi̇rsem yapişiyor hi̇ç bi̇r i̇şe yaramiyor param boşa gi̇tti̇,-0.1319999999999999
çok kullanışlı makina kirletmeden yemek yapabilir,-0.944
